NAME,TEAM,GP,MPG,FGM,FGA,FTM,FTA,TPM,PTS,REB,AST,STL,BLK,TO
Aaron Gordon,DEN,72,31.7,5,10.7,2.1,3.2,1.3,13.3,6.1,3.1,0.8,0.8,2.1
Al Horford,BOS,68,24.8,4.1,8.9,0.9,1.1,1.3,10.3,5.4,3,0.7,0.7,0.8
Alec Burks,NYK,67,23.1,3.9,9.2,1.9,2.2,1.9,11.5,4.2,2,0.5,0.3,0.9
Aleksej Pokusevski,OKL,70,27.3,5,11.5,1.1,1.4,2,13.1,5.7,2.6,0.5,1.1,2.6
Alperen Sengun,HOU,70,20.8,4.1,7.8,1.7,2.1,0.5,10.5,6.4,1.2,0.6,0.9,1.9
Andre Drummond,PHI,74,20.6,4.2,8,1.9,3.1,0,10.2,8.4,1.4,0.9,1,1.5
Andrew Wiggins,GSW,74,32.1,6.8,14.2,2.3,3.3,1.9,17.7,4.7,2.3,0.9,1,1.7
Anthony Davis,LAL,69,32.6,9,18,4.2,5.5,0.9,23.1,8.8,2,1.3,2,2
Anthony Edwards,MIN,77,34.5,7.9,18,3.2,4.1,2.6,21.5,4.9,3.5,1.2,0.5,2.4
Bam Adebayo,MIA,76,33.6,7.1,12.5,4.4,5.5,0,18.7,8.9,4.1,1.2,1,2.6
Ben Simmons,PHI,64,32.5,5.6,10.1,3,4.9,0.1,14.3,7.2,7,1.6,0.6,3
Bobby Portis,MIL,75,25.2,5.2,10,0.9,1.2,1.2,12.5,7.8,1.2,0.9,0.4,0.9
Bogdan Bogdanovic,ATL,68,29.6,6.1,12.8,0.9,1,3.3,16.3,3.6,3.3,1.1,0.3,1.2
Bojan Bogdanovic,UTA,78,30.7,5.6,12.9,3.2,3.7,2.5,16.9,3.9,1.9,0.6,0.1,1.8
Bradley Beal,WAS,68,34.6,11.2,23.8,6.8,7.7,2.6,31.8,4.7,5.8,1.2,0.4,3.1
Brandon Clarke,MEM,70,24,4.3,8.4,1.3,1.9,0.3,10.3,5.6,1.6,1,0.9,0.6
Brandon Ingram,NOP,73,34.5,8.5,18.2,4.6,5.3,2.3,23.9,4.9,4.9,0.7,0.6,2.5
Brook Lopez,MIL,75,27.1,4.6,9,1.7,2,1.4,12.2,5,0.7,0.6,1.5,0.9
Buddy Hield,SAC,76,33.3,5.5,13.2,1.2,1.5,3.9,16.1,4.6,3.5,0.9,0.4,1.8
Cade Cunningham,DET,74,31.7,5.8,13.6,2.9,3.5,1.9,16.4,4.8,3.7,1.2,0.6,3.5
Cameron Payne,PHX,72,20.5,3.7,7.7,0.9,1.1,1.4,9.8,2.8,4.2,0.7,0.4,1.2
Caris LeVert,IND,68,30.2,7.1,16.2,2.9,3.6,1.7,18.9,4.3,4.9,1.3,0.6,2.1
Chris Boucher,TOR,64,26.1,4.4,8.5,2.3,2.9,1.4,12.4,6.2,1,0.5,1.7,0.7
